name,lat,lon,category,traffic_score,rating,state
V Spa Reflexology,4.40593473,113.99870636,Saunas & Spas,70.57,4.7,Sarawak
TCE Tackles Sdn Bhd,3.80616194,113.74380145,Fishing & Hunting,61.43,3.9,Sarawak
LEE'S TACKLE HOME MIRI,4.4573727,114.04193619,Fishing & Hunting,59.0,4.5,Sarawak
Pusat Latihan Pasukan Gerakan Am,4.65474398,101.17441516,Shooting & Gun Ranges,50.14,5.0,Perak
Cobra Gym Express Bukit Tinggi 24 Hour Fitness,3.00720054,101.43266115,Gyms & Studios,24.14,4.5,Selangor
Synergy Fitness Seri Kembangan,3.03000763,101.70676974,Gyms & Studios,41.43,4.1,Selangor
TCE Tackles Sdn Bhd,5.39936077,100.37092378,Fishing & Hunting,64.29,4.2,Other
UM Varsity Green,3.12181351,101.65476113,Team Sports & Fields,28.71,4.5,Kuala Lumpur
Yosin Kampung Subang Court,3.1428786,101.53104217,Other Outdoor & Lawn Sports,44.57,4.2,Selangor
The Parenthood @ Sunway Pyramid,3.07278342,101.60186477,Recreation Centers,64.0,4.2,Selangor
Infinity Line Fitness,4.8405513,100.7460804,Gyms & Studios,32.57,4.3,Perak
Eng Kwang Temerloh,3.44127495,102.41680748,Fishing & Hunting,44.43,4.2,Pahang
Level Up Fitness Xpress AEON Kuching Central (24-Hour Gym),1.52676544,110.33520691,Gyms & Studios,60.86,4.6,Sarawak
Vo2 Energym,2.04896634,102.58096952,Gyms & Studios,36.86,4.5,Johor
Kompleks Belia Dan Sukan Negeri Sembilan,2.72601252,101.9751855,Recreation Centers,34.0,4.2,Negeri Sembilan
Kudat Sports Complex,6.88249916,116.8521186,Recreation Centers,44.43,4.1,Sabah
Anytime Fitness Impiria Bukit Tinggi,2.99218018,101.44127567,Gyms & Studios,41.0,4.0,Selangor
TCE Tackles Sdn Bhd,6.43673911,100.42636535,Fishing & Hunting,48.57,4.3,Kedah
Rally Melaka,2.21587086,102.2635629,Recreation Centers,34.14,4.0,Melaka
Frenzy Sports Arena,3.06088038,101.49732059,Recreation Centers,25.71,4.1,Selangor
CrossFit Pahlawan,3.11129997,101.57667325,Gyms & Studios,29.0,4.7,Selangor
TFC FISHING TACKLE SDN BHD,3.4448254,102.41200014,Fishing & Hunting,46.5,4.1,Pahang
Puncak Alam Golf Driving Range,3.21970952,101.4432339,Golf & Driving Ranges,42.29,4.0,Selangor
JSA Arena,3.11490186,101.44987768,Team Sports & Fields,34.71,4.4,Selangor
The LOFT Fitness,2.2402155,102.25850565,Gyms & Studios,41.43,4.8,Melaka
Akademi Tenis Johor (Nusa Duta Tennis Complex),1.47962491,103.67090275,Racquet & Club Sports,59.14,4.3,Johor
Sport 100 Badminton Center,3.00688922,101.45222746,Other Outdoor & Lawn Sports,47.29,4.1,Selangor
ANGLERS' TACKLES,1.55343244,110.3247583,Fishing & Hunting,55.14,4.3,Sarawak
The Olympic Gym,5.41020871,100.32710329,Gyms & Studios,55.86,4.7,Other
UniPutra Golf Club,2.98237046,101.71732837,Golf & Driving Ranges,70.86,3.8,Selangor
The Challenger Sport Centre AMPANG (Book with AFA app),3.14044785,101.77841941,Recreation Centers,32.71,4.3,Selangor
Sanwa Aquatics (KL) Sdn Bhd (Strictly on Wholesale Only),3.18744519,101.57452354,Fishing & Hunting,60.4,3.6,Selangor
The Mines Resort & Golf Club,3.03209224,101.71450188,Golf & Driving Ranges,68.33,4.4,Selangor
Tiara Melaka Golf & Country Club,2.27207132,102.31349895,Golf & Driving Ranges,22.43,4.1,Melaka
De Stadium Futsal KB (wakaf bharu),6.12454266,102.19301641,Ball Sports,37.57,4.4,Kelantan
Workout Station,4.20602354,100.69521829,Gyms & Studios,33.33,4.6,Perak
Haslina Badminton Hall,6.00225579,102.29457645,Other Outdoor & Lawn Sports,28.86,4.2,Kelantan
Fymac Fishing Tackle,1.55209187,103.75741946,Fishing & Hunting,57.5,4.5,Johor
Iron Fitness & Gym,3.20471655,101.73362575,Gyms & Studios,42.14,4.5,Kuala Lumpur
Fitness First Gym - NU Empire,3.08196793,101.5799025,Gyms & Studios,54.57,3.8,Selangor
Fuel Athletics,3.14026791,101.6437598,Gyms & Studios,30.0,4.8,Kuala Lumpur
Michael's Badminton Academy @ Bukit Puchong,2.98554587,101.61814168,Other Outdoor & Lawn Sports,45.29,4.0,Selangor
G Force Gym and Fitness Centre Puncak Alam,3.23854161,101.44437034,Gyms & Studios,43.17,4.2,Selangor
Yogshakti,3.13671921,101.6695507,Gyms & Studios,41.0,4.9,Kuala Lumpur
I Muscles Fitness,4.57139113,101.11094493,Gyms & Studios,45.29,4.8,Perak
Marina Putrajaya,2.90159946,101.66776089,Recreation Centers,26.57,4.3,Putrajaya
TCE Tackles Sdn Bhd,4.77284716,100.91268936,Fishing & Hunting,73.0,4.6,Perak
Fitness First Gym - Klang Bukit Tinggi,2.99294278,101.44259622,Gyms & Studios,55.43,3.6,Selangor
99 Apacs Badminton Centre,2.05438295,102.58335037,Other Outdoor & Lawn Sports,56.57,3.9,Johor
Max Gym,2.29310045,111.88865691,Gyms & Studios,44.29,3.7,Sarawak
Enrich Fitness,3.14058682,101.77824167,Gyms & Studios,45.14,4.1,Selangor
TCE Tackles Sdn Bhd,5.89417369,116.04740623,Fishing & Hunting,69.14,4.3,Sabah
"Amigo Clubhouse @ 16 Sierra, Puchong South",2.96939648,101.65107235,Recreation Centers,52.0,4.0,Selangor
Sports Arena Sentosa,3.08091036,101.66071174,Recreation Centers,42.14,4.3,Kuala Lumpur
Bard Gym,6.13032597,102.24531411,Gyms & Studios,51.71,3.0,Kelantan
"Peak Fitness SOGO, KL City Centre",3.15624685,101.69268522,Gyms & Studios,50.29,4.1,Kuala Lumpur
Fisher Tackles Sdn. Bhd.,3.06492926,101.5216684,Fishing & Hunting,51.86,4.3,Selangor
Kompleks 3K MBSJ,3.06892269,101.59174232,Recreation Centers,45.57,3.9,Selangor
CT Long Badminton Academy,5.44232782,100.53193291,Other Outdoor & Lawn Sports,46.14,4.0,Kedah
Bemban Fishing Club,6.32570832,100.40946985,Fishing & Hunting,53.57,4.3,Kedah
Hangout Community (Metro Avenue),5.38884874,100.31491769,Gyms & Studios,49.29,4.5,Other
Dewan Badminton Ko,3.03090226,101.42114376,Other Outdoor & Lawn Sports,35.43,4.0,Selangor
GR Sports Centre ( piabetainton Centre ),2.67664154,101.97349621,Other Outdoor & Lawn Sports,32.86,4.0,Negeri Sembilan
Arena Sukan,1.52940193,110.35930944,Recreation Centers,43.43,4.3,Sarawak
Damai Golf And Country Club,1.74083295,110.30465789,Golf & Driving Ranges,42.0,4.2,Sarawak
Sakthi School of Yoga,2.97506291,101.7978805,Gyms & Studios,61.86,5.0,Selangor
TCE Tackles Sdn Bhd,3.81136491,103.31286229,Fishing & Hunting,53.14,4.3,Pahang
Mountain View Golf Resort,5.26163454,100.5151337,Golf & Driving Ranges,45.5,3.9,Other
Body Factory Gym & Fitness Centre,3.09054667,101.6121049,Gyms & Studios,23.86,4.1,Selangor
Red Gym & Fitness Centre,4.86521217,100.72766563,Gyms & Studios,37.0,4.6,Perak
TCE Tackles Sdn Bhd,5.51452814,100.53253862,Fishing & Hunting,58.86,4.1,Kedah
Arena Sukan Kuala Lumpur ( ASKL ),3.1929645,101.71457294,Recreation Centers,65.57,4.8,Kuala Lumpur
The Club @ IJM Rimbayu,2.94084046,101.54306046,Saunas & Spas,40.17,4.4,Selangor
Ara Court Badminton Hall,3.12771024,101.60722378,Other Outdoor & Lawn Sports,52.86,3.9,Selangor
Next Revenue Badminton Hall (Book with AFA),3.19968878,101.63567431,Other Outdoor & Lawn Sports,52.29,3.8,Kuala Lumpur
LifenFitness Seventeen,3.12853577,101.63243647,Gyms & Studios,43.71,4.9,Selangor
"Pusat Akuatik Hang Jebat,",2.29311068,102.23064229,Recreation Centers,51.57,3.9,Other
Sunway Sports Center,5.39598617,100.3976535,Recreation Centers,27.86,3.9,Other
Fat 2 Fit,3.0518161,101.77805068,Gyms & Studios,35.43,4.1,Selangor
Kolam Pancing Kelimas Enterprise,4.46094227,100.9904664,Fishing & Hunting,45.57,3.5,Perak
Mission-Q Escape Room,3.07314441,101.60550395,Recreation Centers,54.29,4.8,Selangor
Central Park Dataran Sunway,3.15208961,101.59072589,Recreation Centers,46.43,4.0,Selangor
TCE Tackles Sdn Bhd,5.29184365,103.1357267,Fishing & Hunting,45.43,4.1,Terengganu
D Joran Bagus,1.73007691,103.9009328,Fishing & Hunting,43.83,4.1,Johor
Gympark Fitness HQ,3.01299781,101.43693463,Gyms & Studios,55.29,4.2,Selangor
TCE Tackles Sdn Bhd,2.87911686,101.6631012,Fishing & Hunting,66.57,4.5,Selangor
Permata Sports Complex,5.39164168,100.27390967,Other Outdoor & Lawn Sports,34.57,4.0,Other
"24-Hour Gym: Anytime Fitness Damansara Jaya, Atria Shopping Gallery.",3.12620468,101.61313852,Gyms & Studios,39.14,4.7,Selangor
Mudtrekker Paintball Park,3.1385326,101.49825272,Paintball & Laser,28.83,4.7,Selangor
SUK Selangor Sports Complex,3.08647833,101.51137392,Recreation Centers,32.71,4.2,Selangor
Sport City Indahpura,1.63893253,103.61259687,Recreation Centers,31.43,4.0,Johor
Aero Gym and Fitness Centre,1.51107749,103.86319262,Gyms & Studios,41.86,4.6,Johor
Kompleks 3K MBSJ Serdang Raya,3.03320343,101.70117761,Recreation Centers,45.14,3.9,Selangor
Power Master Gym & Fitness,5.42984768,100.38275765,Gyms & Studios,43.71,4.1,Other
KBS Tackle Sdn Bhd,5.91918298,116.05485813,Fishing & Hunting,42.33,4.2,Sabah
All Stars Futsal,2.70638251,101.99276357,Recreation Centers,22.0,4.3,Negeri Sembilan
TCE Tackles Sdn Bhd,1.49591973,103.73499773,Fishing & Hunting,70.14,4.2,Johor
Mei Jia Mini Market,2.59143538,101.8199683,Fishing & Hunting,71.17,4.2,Negeri Sembilan
"AU5 , KERAMAT,SKATEPARK",3.20142177,101.75297838,Skating & Rinks,34.0,4.0,Selangor
Curves Bandar Sri Damansara,3.19673976,101.61375156,Gyms & Studios,45.43,5.0,Kuala Lumpur
TCE Tackles Sdn Bhd,5.32263318,100.44694568,Fishing & Hunting,61.14,4.2,Other
Chia Fishing Tackle Trading,3.00552824,101.40787825,Fishing & Hunting,66.5,4.3,Selangor
Anytime Fitness Metro Prima Kepong - 24 Hour Gym,3.2119297,101.64161518,Gyms & Studios,36.86,4.2,Kuala Lumpur
Star Fitness Damansara,3.18711466,101.61287727,Gyms & Studios,32.0,3.8,Selangor
Curves Sunway Nexis,3.15090018,101.59235772,Gyms & Studios,46.33,4.8,Selangor
Yoshaa Fishing Store,2.68035777,101.86446729,Fishing & Hunting,45.43,4.7,Negeri Sembilan
GSS Global Sports Solution,5.46497591,100.28157758,Recreation Centers,39.43,4.3,Other
TCE Tackles Sdn Bhd,3.34081136,101.24755369,Fishing & Hunting,44.71,4.3,Selangor
RNJ SWIMMING ACADMEY (KEPONG BRANCH) (formerly known as Swim Splash Academy),3.20904795,101.62866488,Recreation Centers,64.5,4.8,Kuala Lumpur
TCE Tackles Sdn Bhd,4.58526314,101.04114331,Fishing & Hunting,44.29,4.3,Perak
Cha Yong Badminton Center,1.85526453,102.92722188,Other Outdoor & Lawn Sports,33.86,4.2,Johor
Gemas Golf Resort,2.57127896,102.60227924,Golf & Driving Ranges,25.71,3.5,Negeri Sembilan
Kolam Memancing Batu Arang 123,3.30973814,101.46336581,Fishing & Hunting,21.43,4.2,Selangor
INF Badminton Court | Jalan Fatimah | 鼎立羽球场,1.8471106,102.92440517,Other Outdoor & Lawn Sports,49.43,4.4,Johor
YTP Sports Arena,3.01351662,101.45451615,Team Sports & Fields,31.57,4.0,Selangor
Lifestyle Gym,2.29142973,111.83544259,Gyms & Studios,62.14,4.3,Sarawak
Cobra Gym Express Senawang 24 Hour Fitness,2.70132974,101.97791752,Gyms & Studios,37.29,4.3,Negeri Sembilan
X Park Sunway City Ipoh,4.6208178,101.14598757,Recreation Centers,33.71,4.1,Perak
TCE Tackles Sdn Bhd,4.46640096,101.03976888,Fishing & Hunting,69.71,4.2,Perak
Perniagaan Cabaran Belantara,5.62345237,100.46179957,Fishing & Hunting,58.57,4.0,Kedah
Triple T Boxing Academy,3.07131967,101.59776387,Gyms & Studios,26.14,4.8,Selangor
TCE Tackles Sdn Bhd,2.97404068,101.76864559,Fishing & Hunting,62.86,4.1,Selangor
Seven Star Gym & Fitness,5.28845311,100.27876648,Gyms & Studios,43.43,4.9,Penang
Bandar Utama Golf Course,3.14464133,101.6007248,Golf & Driving Ranges,45.0,3.8,Selangor
Fish Garden Sungai Janggut Jeram,3.17301912,101.31015495,Fishing & Hunting,49.29,3.6,Selangor
Koryo Taekwondo Club Bandar Bukit Raja Klang (Koryo Taekwondo Excellence Centre),3.08483757,101.4405041,Gyms & Studios,54.33,4.9,Selangor
Bukit Kemuning Golf & Country Resort,2.98487738,101.5214038,Golf & Driving Ranges,44.5,4.0,Selangor
ABOVE FITNESS RAWANG,3.31815544,101.53429842,Gyms & Studios,47.71,4.6,Selangor
Mahkota Hills Club House,2.87921735,101.91162596,Recreation Centers,22.43,4.1,Negeri Sembilan
ATSA Sabah Taekwondo,6.03324973,116.12416949,Martial Arts & Dojos,32.0,4.9,Sabah
Olympic Sports & Fitness Sdn Bhd,5.38482151,100.30822794,Gyms & Studios,34.71,4.4,Penang
Body Engineers Fitness,3.16691418,101.60410285,Gyms & Studios,36.71,4.6,Selangor
Tambun Herbal Sauna,5.27189533,100.44502844,Saunas & Spas,53.0,4.3,Penang
TCE Tackles Sdn Bhd,1.83137234,103.30513847,Fishing & Hunting,55.0,4.5,Johor
Pro One Badminton Court,3.06813258,101.62205687,Other Outdoor & Lawn Sports,36.29,4.0,Selangor
Batu Pahat Golf Club,1.85615066,102.94617264,Golf & Driving Ranges,40.86,4.0,Johor
PLSC GEL BLASTER MALAYSIA,3.14816855,101.75371112,Shooting & Gun Ranges,63.0,4.0,Selangor
Kolam Pancing Udang Galah kg subang,3.15849965,101.52528693,Fishing & Hunting,71.0,4.1,Selangor
Lite Fitness Raub,3.7768038,101.85229316,Gyms & Studios,50.17,4.4,Pahang
M factory Gym,1.85890439,102.92617868,Gyms & Studios,36.29,4.8,Johor
Trobong Bay,6.12791615,116.13154688,Fishing & Hunting,25.29,3.9,Sabah
Futsal MG2 Teras Jernang,2.9203013,101.75340438,Gyms & Studios,24.43,4.3,Selangor
"Gympark Fitness, Klang Utama",3.08418635,101.4072181,Gyms & Studios,37.71,4.4,Selangor
MST Golf Super Store Plaza Shell,5.97722862,116.07218043,Golf & Driving Ranges,45.71,4.4,Sabah
Hutan Lipur Ulu Bendul,2.73012724,102.07617432,Recreation Centers,38.0,4.5,Negeri Sembilan
Master Badminton Club (MBC) Gunung Rapat,4.57122513,101.11108987,Other Outdoor & Lawn Sports,54.86,4.3,Perak
Our Gym,3.11821828,101.61720735,Gyms & Studios,40.0,4.1,Selangor
"Gympark Fitness, PJ222",3.09681712,101.6291185,Gyms & Studios,57.43,4.6,Selangor
LifenFitness Bukit Bintang,3.14032334,101.70517977,Gyms & Studios,15.86,4.8,Kuala Lumpur
TCE Tackles Sdn Bhd,4.21991324,103.41778937,Fishing & Hunting,63.0,4.4,Terengganu
Kolam Pancing Air Masin ADURO,3.20261027,101.59860866,Fishing & Hunting,34.86,3.7,Selangor
Dewan Badminton Game Point,1.81767429,102.95522178,Other Outdoor & Lawn Sports,39.43,4.4,Johor
badminton court,1.52473128,103.67007677,Other Outdoor & Lawn Sports,31.29,4.1,Johor
Samarahan Country Club,1.4698373,110.4185697,Golf & Driving Ranges,55.86,4.0,Sarawak
Shah Alam Extreme Park,3.08651342,101.53998673,Skating & Rinks,51.29,4.3,Selangor
Celebrity Fitness Gym - Endah Parade,3.06329365,101.6925255,Gyms & Studios,48.29,3.5,Kuala Lumpur
Kolam Pancing Big Boss,3.25121756,101.52598755,Fishing & Hunting,34.14,3.8,Selangor
TS Sport Complex Sdn. Bhd.,1.48596926,103.92255492,Recreation Centers,32.71,4.0,Johor
Falim Sports Centre,4.58080682,101.05451838,Recreation Centers,46.71,4.1,Perak
Kolam Memancing Udang Galah Abang Roi,3.24407059,101.30962948,Fishing & Hunting,41.0,4.1,Selangor
Bukit Banang Golf & Country Club,1.80273514,102.96628336,Golf & Driving Ranges,66.29,3.6,Johor
TCE Tackles Sdn Bhd,6.10776284,100.36199756,Fishing & Hunting,66.43,4.1,Kedah
TCE Tackles Sdn Bhd,2.98158914,101.40974541,Fishing & Hunting,61.86,4.3,Selangor
TCE Tackles Sdn Bhd,1.52467524,110.33492971,Fishing & Hunting,61.43,4.2,Sarawak
Anytime Fitness Tamarind Square,2.91964378,101.63351323,Gyms & Studios,42.57,4.2,Selangor
Pura Kencana Swimming Pool,1.8526194,103.02207285,Gyms & Studios,39.14,3.9,Johor
Penang Golf Club,5.33593497,100.28111059,Golf & Driving Ranges,55.71,4.1,Other
Oops! Gym Steam and Sauna,3.14299211,101.72563529,Saunas & Spas,66.71,3.4,Kuala Lumpur
One More Rep Gymnasium Sri Serdang,3.00930473,101.71153996,Gyms & Studios,48.43,4.4,Selangor
The Sports Barn PJ,3.11448249,101.62679646,Recreation Centers,39.43,3.9,Selangor
The Optimum Fitness Centre,6.10910747,100.35890614,Gyms & Studios,41.86,3.9,Kedah
Batu Berendam Badminton,2.25092217,102.24490244,Recreation Centers,25.71,4.2,Melaka
Sunway Pyramid Ice,3.07216088,101.60491939,Skating & Rinks,62.86,4.3,Selangor
Equine Park Fitness Seri Kembangan,2.99698991,101.67521549,Gyms & Studios,39.43,4.4,Selangor
W.O.S Petaling Jaya,3.09484667,101.62856844,Recreation Centers,29.43,4.5,Selangor
Orna Golf & Country Club,2.26956646,102.33706796,Golf & Driving Ranges,54.43,3.8,Melaka
1stopfishing Shah Alam,3.06566293,101.46947564,Fishing & Hunting,59.57,4.3,Selangor
Kajang United BC (KUBC),2.98407717,101.81166416,Other Outdoor & Lawn Sports,62.0,3.7,Selangor
D'Popeye Gym,3.1982307,101.72587277,Gyms & Studios,32.71,4.6,Kuala Lumpur
Level Up Fitness Xpress Kuala Terengganu,5.33007459,103.13214942,Gyms & Studios,52.0,4.3,Terengganu
Impian Golf & Country Club,3.01997237,101.79515765,Golf & Driving Ranges,69.83,4.1,Selangor
TCE Tackles Sdn Bhd,5.63924962,100.48046068,Fishing & Hunting,53.14,4.0,Kedah
Muscle Construct Gym,5.67125659,100.50613849,Gyms & Studios,43.14,4.7,Kedah
SEVEN STAR GYM GELUGOR,5.36764076,100.30753271,Gyms & Studios,56.71,4.5,Other
Shah Alam Badminton Centre,3.06484655,101.52361269,Recreation Centers,58.0,4.1,Selangor
Kompleks Sukan USM,5.35742652,100.30575095,Recreation Centers,43.14,4.4,Other
Winning Futsal,4.84416896,100.69383213,Recreation Centers,31.57,4.2,Other
Cyberjaya Paintball Park,2.93937482,101.6420006,Paintball & Laser,43.29,4.5,Other
Ultimate Sporthaus,2.82208237,101.78815655,Recreation Centers,27.29,4.1,Negeri Sembilan
Leonian Malaysia Sdn Bhd (HQ),3.10746229,101.54272396,Golf & Driving Ranges,55.0,4.8,Selangor
TCE Tackles Sdn Bhd,5.60904536,100.48006725,Fishing & Hunting,49.57,4.7,Kedah
Monarchy MMA | Bangsar Branch,3.13150575,101.6692439,Martial Arts & Dojos,47.0,4.8,Kuala Lumpur
Blue Water,1.48217583,103.77206847,Fishing & Hunting,54.57,4.4,Johor
Villain Barbell Club,3.15439066,101.59157728,Gyms & Studios,47.86,4.6,Selangor
Kompleks Sukan PKNS,3.09452326,101.59842089,Recreation Centers,30.29,4.3,Selangor
FitLab Studio & Gym,2.71700391,101.92254932,Gyms & Studios,27.0,4.8,Negeri Sembilan
USJ 23 Badminton Court,3.0248806,101.58591045,Other Outdoor & Lawn Sports,32.0,3.8,Selangor
Bangi Golf Resort,2.95725523,101.76239175,Golf & Driving Ranges,29.71,4.1,Selangor
Ponderosa Golf & Country Resort,1.51294197,103.78159297,Golf & Driving Ranges,69.57,4.1,Johor
Tun Razak National Tennis Centre - Jalan Duta,3.17427522,101.67395628,Racquet & Club Sports,65.86,4.4,Kuala Lumpur
Kungfu Dojo Sabah,5.96807883,116.08140067,Gyms & Studios,34.67,4.8,Sabah
Hulu Langat Fishing Resort & Restaurant,3.14066171,101.8278156,Fishing & Hunting,14.71,4.2,Selangor
Hasya Joran,2.98925766,101.66889284,Fishing & Hunting,51.14,4.0,Selangor
Heartcore Angler,2.93159227,101.76245182,Fishing & Hunting,53.17,4.7,Selangor
Level Up Fitness Xpress BDC (24-Hour Gym),1.50696777,110.35818368,Gyms & Studios,55.67,4.2,Sarawak
FOR U FITNESS,6.43573133,100.43836946,Gyms & Studios,50.14,4.6,Kedah
Kota Damansara Driving Range,3.15071293,101.59348047,Golf & Driving Ranges,51.0,4.0,Selangor
Brader Rosly Island Hopping,6.31664974,99.84838898,Water & Aquatic Sports,49.14,4.4,Kedah
TCE Tackles Sdn Bhd,2.43073846,103.8306042,Fishing & Hunting,64.29,4.2,Johor
Patikang Futsal Club,5.34644481,116.12361717,Ball Sports,48.57,4.8,Sabah
TCE Tackles Sdn Bhd,1.49925353,103.81351134,Fishing & Hunting,56.57,4.2,Johor
X Park Sendayan,2.67631034,101.8611204,Recreation Centers,24.14,4.4,Negeri Sembilan
Infinity Gym Fitness,5.38783254,100.55813623,Gyms & Studios,39.71,4.7,Kedah
OUG Shuttle Bug Sports Centre,3.07387512,101.67032924,Other Outdoor & Lawn Sports,22.0,4.1,Kuala Lumpur
DR Y & S FITNESS CENTRE KK,2.99051414,101.54434755,Gyms & Studios,60.0,4.9,Selangor
Kolam Pancing KMK,5.78210063,100.68349456,Fishing & Hunting,60.17,4.2,Kedah
EXCELL GYM FITNESS CENTER LARKIN IDAMAN,1.49438275,103.7514088,Gyms & Studios,46.83,4.4,Johor
Aurora Studio,3.22655457,101.56444192,Gyms & Studios,66.67,4.7,Selangor
TCE Tackles Sdn Bhd,1.47266426,110.32559742,Fishing & Hunting,55.0,4.2,Sarawak
U-Fitness Gym Centre,1.53272194,103.79175547,Gyms & Studios,50.0,4.6,Johor
BELIEVE FITNESS ATIVO PLAZA,3.19672278,101.61358045,Gyms & Studios,30.86,4.0,Kuala Lumpur
Elements Badminton Court,3.04725239,101.56239117,Recreation Centers,41.0,4.3,Selangor
Gym Story Fitness Centre,1.56271513,103.73174992,Gyms & Studios,39.29,4.7,Johor
Futsal Kg.melayu Subang,3.14480527,101.52903533,Ball Sports,22.29,3.9,Selangor
Fairview Eduresort @ Port Dickson,2.41831959,101.89110559,Other Outdoor & Lawn Sports,36.57,3.8,Negeri Sembilan
TCE Tackles Sdn Bhd,6.22848235,100.41733776,Fishing & Hunting,59.86,4.3,Kedah
Angelus Fitness Metrocity,1.56920957,110.3041398,Gyms & Studios,43.57,4.5,Sarawak
Forum Klang Badminton Centre,3.04950964,101.44715831,Other Outdoor & Lawn Sports,29.0,4.5,Selangor
GoFit - Central i-City Mall,3.06221322,101.47929874,Gyms & Studios,50.57,4.0,Selangor
Mines Driving Range,3.02952641,101.71735916,Golf & Driving Ranges,29.29,3.6,Selangor
Star Gym Health Centre Kuantan,3.82937874,103.32536427,Gyms & Studios,49.29,4.5,Pahang
Lavana 2 Sports Centre (Subang),3.0427734,101.59595571,Other Outdoor & Lawn Sports,55.43,4.3,Selangor
TCE Tackles Sdn Bhd,5.38543871,100.55524664,Fishing & Hunting,73.86,3.9,Kedah
Fitnacle Subang,3.04780112,101.57720236,Gyms & Studios,62.86,4.8,Selangor
"Peak Fitness Citta Mall, Ara Damansara",3.11296346,101.57604777,Gyms & Studios,39.86,4.3,Selangor
Kama'A Rejuvenation & Wellbeing Spa,5.97568192,116.07019783,Saunas & Spas,43.57,4.8,Sabah
Jari Bayu Spa & Reflexology,5.94040992,116.06799744,Saunas & Spas,50.0,4.3,Sabah
RFC Fitness,3.11903017,101.67127628,Gyms & Studios,47.57,4.6,Kuala Lumpur
TCE Tackles Sdn Bhd,2.50058357,102.8227553,Fishing & Hunting,59.86,4.4,Johor
Fitness First Gym - Setia City Mall,3.10895672,101.45876133,Gyms & Studios,42.43,3.8,Selangor
Footballhub @ Twentyfive.7,2.95463591,101.54986093,Team Sports & Fields,45.86,4.3,Selangor
TCE Tackles Sdn Bhd,5.35755845,116.17296116,Fishing & Hunting,74.86,4.0,Sabah
"Hockey Stadium, Universiti Sains Malaysia",5.35406884,100.29201229,Team Sports & Fields,36.0,4.5,Penang
TCE Tackles Sdn Bhd,4.4197226,114.01434159,Fishing & Hunting,54.71,4.4,Sarawak
Futsalhub @ Sunsuria Avenue,3.15520937,101.58722112,Recreation Centers,29.0,4.1,Selangor
Master Badminton Club | MBC | Jalan Kuala Kangsar,4.63304027,101.08433351,Other Outdoor & Lawn Sports,45.14,4.4,Perak
MBPP Relau Sport Complex,5.34217184,100.26901012,Recreation Centers,63.0,4.4,Other
TCE Tackles Sdn Bhd,2.82001757,101.79173966,Fishing & Hunting,67.0,4.1,Negeri Sembilan
TCE Tackles Sdn Bhd,2.20455331,102.21779185,Fishing & Hunting,72.14,4.2,Melaka
TCE Tackles Sdn Bhd,5.92364313,116.09593686,Fishing & Hunting,70.14,4.2,Sabah
TCE Tackles Sdn Bhd,6.32645432,99.83996233,Fishing & Hunting,58.71,4.3,Kedah
TCE Tackles Sdn Bhd,3.93532668,102.37196654,Fishing & Hunting,51.71,4.1,Pahang
KB Futsal Arena,6.1416009,102.30441192,Ball Sports,35.43,4.0,Kelantan
Fitness Star,4.22769731,100.68944114,Gyms & Studios,55.67,4.5,Perak
TCE Tackles Sdn Bhd,4.63149344,101.08251071,Fishing & Hunting,59.0,4.3,Perak
Anytime Fitness Sunway Big Box,1.39744781,103.62343222,Gyms & Studios,29.86,4.8,Johor
Underground Fitness,3.1976625,101.70965641,Gyms & Studios,39.86,4.7,Kuala Lumpur
Hitfat,6.09905076,102.26621889,Gyms & Studios,33.33,4.9,Kelantan
TiJay Sports (TJS) Gymnastics Academy,3.08853291,101.63675856,Gyms & Studios,42.83,5.0,Selangor
Palm Garden Golf Club,2.96537426,101.71412565,Golf & Driving Ranges,50.86,4.3,Putrajaya
Balakong Badminton Sports Center,3.02815758,101.74482086,Other Outdoor & Lawn Sports,50.86,4.3,Selangor
ZM Pro Fishing Shop- menjual peralatan memancing,5.34465049,100.48516325,Fishing & Hunting,53.83,4.4,Other
Proshuttle Balakong Badminton Court,3.03435464,101.75870245,Recreation Centers,27.14,4.2,Selangor
TCE Tackles Sdn Bhd,6.11851776,100.36144714,Fishing & Hunting,54.43,3.7,Kedah
KSL Sports,2.98980567,101.61365077,Recreation Centers,34.86,4.1,Selangor
Pinnacle Fitness,3.11644026,101.66512437,Gyms & Studios,46.5,4.9,Kuala Lumpur
Fitworx Fitness Centre @ Amcorp Mall,3.10475038,101.64442795,Gyms & Studios,38.71,4.0,Selangor
MYSA Futsal & Gym,3.45363875,102.40257147,Gyms & Studios,51.43,4.3,Pahang
Champion Badminton Courts & Pro Shop,4.36354321,113.98293359,Other Outdoor & Lawn Sports,52.0,4.5,Sarawak
TLS Fitness Center Sdn Bhd,2.98272274,101.77993992,Gyms & Studios,40.0,4.6,Selangor
Furious Bootcamp,3.1022322,101.73247324,Gyms & Studios,30.57,4.7,Kuala Lumpur
Level Up Fitness City Mall (Premium 24-Hour Gym),5.96113065,116.09448294,Gyms & Studios,67.86,4.4,Sabah
MST Golf Pelangi Driving Range,1.48277364,103.78021918,Golf & Driving Ranges,61.86,3.8,Johor
Level Up fitness Segamat,2.51390814,102.82041367,Gyms & Studios,45.0,3.6,Johor
